"generation","model","heterozygosity_loss","effective_ne","panel"
13,"Haplo-diploidy",-0.0512635887944584,9.75351144463867,"b"
14,"Haplo-diploidy",-0.0537673993819627,9.29931530532113,"b"
15,"Haplo-diploidy",-0.0549090376918894,9.10596909029158,"b"
16,"Haplo-diploidy",-0.0554039578059319,9.02462603396299,"b"
17,"Haplo-diploidy",-0.0556297470162433,8.98799701271345,"b"
18,"Haplo-diploidy",-0.0557276798656406,8.97220198661597,"b"
19,"Haplo-diploidy",-0.0557726210129644,8.96497225554048,"b"
20,"Haplo-diploidy",-0.0557920019124281,8.96185802375056,"b"
21,"Haplo-diploidy",-0.0558009625015444,8.96041891725723,"b"
22,"Haplo-diploidy",-0.0558047953524299,8.95980348717879,"b"
23,"Haplo-diploidy",-0.0558065839632736,8.95951632389917,"b"
24,"Haplo-diploidy",-0.0558073411289467,8.95939476573012,"b"
25,"Haplo-diploidy",-0.0558076985834148,8.95933737981792,"b"
26,"Haplo-diploidy",-0.0558078479415495,8.95931340200892,"b"
27,"Haplo-diploidy",-0.055807919483656,8.95930191675449,"b"
28,"Haplo-diploidy",-0.0558079488912636,8.95929719571313,"b"
29,"Haplo-diploidy",-0.0558079632357493,8.9592948928785,"b"
30,"Haplo-diploidy",-0.0558079690121829,8.95929396554191,"b"
31,"Haplo-diploidy",-0.0558079718946846,8.95929350279118,"b"
32,"Haplo-diploidy",-0.0558079730258825,8.95929332119107,"b"
33,"Haplo-diploidy",-0.0558079736066877,8.95929322794984,"b"
34,"Haplo-diploidy",-0.0558079738273425,8.95929319252638,"b"
35,"Haplo-diploidy",-0.0558079739447573,8.95929317367685,"b"
36,"Haplo-diploidy",-0.0558079739875798,8.95929316680223,"b"
37,"Haplo-diploidy",-0.0558079740114114,8.95929316297636,"b"
38,"Haplo-diploidy",-0.0558079740196663,8.95929316165113,"b"
39,"Haplo-diploidy",-0.0558079740245266,8.95929316087086,"b"
40,"Haplo-diploidy",-0.0558079740261037,8.95929316061768,"b"
41,"Haplo-diploidy",-0.0558079740271007,8.95929316045762,"b"
42,"Haplo-diploidy",-0.0558079740273985,8.95929316040982,"b"
43,"Haplo-diploidy",-0.0558079740276043,8.95929316037678,"b"
44,"Haplo-diploidy",-0.0558079740276595,8.95929316036792,"b"
45,"Haplo-diploidy",-0.0558079740277024,8.95929316036102,"b"
46,"Haplo-diploidy",-0.0558079740277123,8.95929316035944,"b"
47,"Haplo-diploidy",-0.0558079740277212,8.95929316035801,"b"
48,"Haplo-diploidy",-0.0558079740277231,8.95929316035771,"b"
49,"Haplo-diploidy",-0.0558079740277247,8.95929316035744,"b"
50,"Haplo-diploidy",-0.0558079740277252,8.95929316035737,"b"
2,"Diploid arrhenotoky",-0.25,2,"b"
3,"Diploid arrhenotoky",-0.165625,3.0188679245283,"b"
4,"Diploid arrhenotoky",-0.195951659562266,2.55164973400553,"b"
